Distance,Gray_Value,normalised,signal
0,467.5,3.942846188,N-protein
0.03,263.178,2.219615774,N-protein
0.06488,97.317,0.820761417,N-protein
0.12977,51.183,0.431672078,N-protein
0.19465,63.7,0.537239149,N-protein
0.25954,129.667,1.093597939,N-protein
0.32442,584.15,4.926660109,N-protein
0.38931,2646.911,22.32377101,N-protein
0.45419,7213.467,60.83762752,N-protein
0.51908,11856.917,100,N-protein
0.58396,8488.667,71.59253118,N-protein
0.64885,2896.461,24.42844966,N-protein
0.71373,478.367,4.034497332,N-protein
0.77861,65.367,0.62,N-protein
0.8435,62.022,0.523087072,N-protein
0.90838,78.694,0.66369698,N-protein
0.97327,107,0.902426828,N-protein
1.03815,169.433,1.428980232,N-protein
1.10304,316.139,2.666283318,N-protein
1.16792,744.967,6.282973896,N-protein
1.23281,1623.372,13.69134995,N-protein
1.29769,3863.556,32.58482791,N-protein
1.36258,7243.083,61.08740577,N-protein
1.42746,9073.955,76.52878906,N-protein
1.49235,7769.956,65.53099764,N-protein
1.55723,3550.6,29.94538968,N-protein
1.62211,1244.361,10.49481075,N-protein
1.687,593.211,5.003079637,N-protein
1.75188,356.1,3.00331022,N-protein
1.81677,436.478,3.681209879,N-protein
1.88165,250.189,2.110067904,N-protein
1.94654,254.667,2.147834888,N-protein
0,20.167,4.158478723,gRNA
0.06488,19.461,4.012900006,gRNA
0.12977,19.589,4.039293881,gRNA
0.19465,20.85,4.29931479,gRNA
0.25954,33.278,6.861995088,gRNA
0.32442,77.278,15.93488961,gRNA
0.38931,214.95,44.32315176,gRNA
0.45419,420.011,86.60717047,gRNA
0.51908,465.467,95.98029532,gRNA
0.58396,364.483,75.15717759,gRNA
0.64885,168.75,34.79661251,gRNA
0.71373,65.728,13.5532548,gRNA
0.77861,28.033,5.780464821,gRNA
0.8435,19,3.917840816,gRNA
0.90838,20.5,4.227144038,gRNA
0.97327,22.75,4.691098872,gRNA
1.03815,24.311,5.012980425,gRNA
1.10304,25.989,5.35898763,gRNA
1.16792,36.133,7.450702221,gRNA
1.23281,67.6,13.93926522,gRNA
1.29769,201.389,41.52684443,gRNA
1.36258,382.533,78.87912636,gRNA
1.42746,484.961,100,gRNA
1.49235,376.189,77.57097993,gRNA
1.55723,174.1,35.899794,gRNA
1.62211,71.194,14.68035574,gRNA
1.687,31.367,6.467942783,gRNA
1.75188,23,4.742649409,gRNA
1.81677,23.133,4.770074295,gRNA
1.88165,24.922,5.138969938,gRNA
1.94654,24.5,5.051952631,gRNA