cell_id,condition,total_count,time.adj,repeat_exp
0h_1_outline_TS_detect_AUTO_200.txt_Cell_1,INF,181.826896,2,R1
0h_1_outline_TS_detect_AUTO_200.txt_Cell_2,INF,154.593752,2,R1
0h_1_outline_TS_detect_AUTO_200.txt_Cell_3,INF,27.086136,2,R1
0h_1_outline_TS_detect_AUTO_200.txt_Cell_4,INF,38.93348,2,R1
0h_1_outline_TS_detect_AUTO_200.txt_Cell_5,INF,9.865264,2,R1
0h_10_outline_TS_detect_AUTO_200.txt_Cell_2,INF,41.997344,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_3,INF,22.551864,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_4,INF,35.648096,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_5,INF,20.874576,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_6,INF,75.770488,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_7,INF,43.079128,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_8,INF,25.943416,2,R2
0h_10_outline_TS_detect_AUTO_200.txt_Cell_9,INF,9.9,2,R2
0h_11_outline_TS_detect_AUTO_200.txt_Cell_1,INF,93.518008,2,R2
0h_11_outline_TS_detect_AUTO_200.txt_Cell_2,INF,54.880096,2,R2
0h_11_outline_TS_detect_AUTO_200.txt_Cell_3,INF,43.59368,2,R2
0h_11_outline_TS_detect_AUTO_200.txt_Cell_4,INF,44.799632,2,R2
0h_12_outline_TS_detect_AUTO_200.txt_Cell_1,INF,153.702488,2,R2
0h_12_outline_TS_detect_AUTO_200.txt_Cell_2,INF,58.568376,2,R2
0h_12_outline_TS_detect_AUTO_200.txt_Cell_3,INF,27,2,R2
0h_12_outline_TS_detect_AUTO_200.txt_Cell_4,INF,12.6,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_1,INF,71.055888,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_2,INF,50.498952,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_3,INF,45.432928,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_4,INF,102.630344,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_5,INF,28.426328,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_6,INF,20.776608,2,R2
0h_13_outline_TS_detect_AUTO_200.txt_Cell_7,INF,30.61812,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_1,INF,164.833128,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_2,INF,47.92888,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_3,INF,21.6,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_4,INF,37.8,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_5,INF,34.845568,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_6,INF,69.51024,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_7,INF,21.548968,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_8,INF,56.827384,2,R2
0h_14_outline_TS_detect_AUTO_200.txt_Cell_9,INF,12.406952,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_1,INF,44.083016,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_2,INF,24.109824,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_3,INF,98.108512,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_4,INF,19.81024,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_5,INF,16.083136,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_6,INF,25.61424,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_7,INF,8.1,2,R2
0h_15_outline_TS_detect_AUTO_200.txt_Cell_8,INF,19.777392,2,R2
0h_16_outline_TS_detect_AUTO_200.txt_Cell_2,INF,18.744944,2,R2
0h_16_outline_TS_detect_AUTO_200.txt_Cell_3,INF,19.925824,2,R2
0h_16_outline_TS_detect_AUTO_200.txt_Cell_4,INF,10.8,2,R2
0h_16_outline_TS_detect_AUTO_200.txt_Cell_5,INF,82.077224,2,R2
0h_16_outline_TS_detect_AUTO_200.txt_Cell_6,INF,117.792024,2,R2
0h_16_outline_TS_detect_AUTO_200.txt_Cell_7,INF,49.712464,2,R2
0h_16_outline_TS_detect_AUTO_200.txt_Cell_8,INF,239.719984,2,R2
0h_16_outline_TS_detect_AUTO_200.txt_Cell_9,INF,56.561448,2,R2
0h_2_outline_TS_detect_AUTO_200.txt_Cell_1,INF,94.430968,2,R1
0h_2_outline_TS_detect_AUTO_200.txt_Cell_2,INF,29.454056,2,R1
0h_2_outline_TS_detect_AUTO_200.txt_Cell_3,INF,141.76596,2,R1
0h_2_outline_TS_detect_AUTO_200.txt_Cell_4,INF,8.1,2,R1
0h_2_outline_TS_detect_AUTO_200.txt_Cell_5,INF,27.303512,2,R1
0h_2_outline_TS_detect_AUTO_200.txt_Cell_6,INF,88.199896,2,R1
0h_2_outline_TS_detect_AUTO_200.txt_Cell_7,INF,24.522032,2,R1
0h_3_outline_TS_detect_AUTO_200.txt_Cell_1,INF,79.524824,2,R1
0h_3_outline_TS_detect_AUTO_200.txt_Cell_2,INF,96.814912,2,R1
0h_3_outline_TS_detect_AUTO_200.txt_Cell_3,INF,14.351776,2,R1
0h_3_outline_TS_detect_AUTO_200.txt_Cell_4,INF,41.100592,2,R1
0h_3_outline_TS_detect_AUTO_200.txt_Cell_5,INF,27.355192,2,R1
0h_3_outline_TS_detect_AUTO_200.txt_Cell_6,INF,146.020424,2,R1
0h_4_outline_TS_detect_AUTO_200.txt_Cell_1,INF,61.053296,2,R1
0h_4_outline_TS_detect_AUTO_200.txt_Cell_2,INF,47.049616,2,R1
0h_4_outline_TS_detect_AUTO_200.txt_Cell_3,INF,10.8,2,R1
0h_4_outline_TS_detect_AUTO_200.txt_Cell_4,INF,33.36352,2,R1
0h_4_outline_TS_detect_AUTO_200.txt_Cell_5,INF,66.714136,2,R1
0h_4_outline_TS_detect_AUTO_200.txt_Cell_6,INF,13.66172,2,R1
0h_5_outline_TS_detect_AUTO_200.txt_Cell_1,INF,210.973904,2,R1
0h_5_outline_TS_detect_AUTO_200.txt_Cell_2,INF,105.795448,2,R1
0h_5_outline_TS_detect_AUTO_200.txt_Cell_3,INF,91.471208,2,R1
0h_5_outline_TS_detect_AUTO_200.txt_Cell_4,INF,203.59588,2,R1
0h_5_outline_TS_detect_AUTO_200.txt_Cell_5,INF,27.234296,2,R1
0h_5_outline_TS_detect_AUTO_200.txt_Cell_6,INF,23.113104,2,R1
0h_5_outline_TS_detect_AUTO_200.txt_Cell_7,INF,25.462064,2,R1
0h_6_outline_TS_detect_AUTO_200.txt_Cell_1,INF,143.480976,2,R1
0h_6_outline_TS_detect_AUTO_200.txt_Cell_2,INF,40.630688,2,R1
0h_6_outline_TS_detect_AUTO_200.txt_Cell_3,INF,129.49144,2,R1
0h_6_outline_TS_detect_AUTO_200.txt_Cell_4,INF,130.883584,2,R1
0h_6_outline_TS_detect_AUTO_200.txt_Cell_5,INF,69.299168,2,R1
0h_6_outline_TS_detect_AUTO_200.txt_Cell_6,INF,115.667752,2,R1
0h_6_outline_TS_detect_AUTO_200.txt_Cell_7,INF,110.436272,2,R1
0h_6_outline_TS_detect_AUTO_200.txt_Cell_8,INF,57.394976,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_1,INF,12.6,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_10,INF,16.8388,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_11,INF,38.805104,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_2,INF,52.745616,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_3,INF,66.432744,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_4,INF,66.484992,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_5,INF,76.111296,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_6,INF,73.90372,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_7,INF,35.1,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_8,INF,45.641608,2,R1
0h_7_outline_TS_detect_AUTO_200.txt_Cell_9,INF,106.148152,2,R1
0h_8_outline_TS_detect_AUTO_200.txt_Cell_1,INF,36.026232,2,R1
0h_8_outline_TS_detect_AUTO_200.txt_Cell_2,INF,20.887624,2,R1
0h_8_outline_TS_detect_AUTO_200.txt_Cell_3,INF,6.208792,2,R1
0h_8_outline_TS_detect_AUTO_200.txt_Cell_4,INF,16.158728,2,R1
0h_8_outline_TS_detect_AUTO_200.txt_Cell_5,INF,39.650584,2,R1
0h_8_outline_TS_detect_AUTO_200.txt_Cell_6,INF,34.408192,2,R1
0h_8_outline_TS_detect_AUTO_200.txt_Cell_7,INF,73.631216,2,R1
0h_8_outline_TS_detect_AUTO_200.txt_Cell_8,INF,66.581432,2,R1
0h_9_outline_TS_detect_AUTO_200.txt_Cell_1,INF,42.461416,2,R2
0h_9_outline_TS_detect_AUTO_200.txt_Cell_2,INF,40.272256,2,R2
0h_9_outline_TS_detect_AUTO_200.txt_Cell_3,INF,50.674984,2,R2
0h_9_outline_TS_detect_AUTO_200.txt_Cell_4,INF,44.773584,2,R2
0h_9_outline_TS_detect_AUTO_200.txt_Cell_5,INF,49.5,2,R2
0h_9_outline_TS_detect_AUTO_200.txt_Cell_6,INF,31.916872,2,R2
0h_9_outline_TS_detect_AUTO_200.txt_Cell_7,INF,26.125736,2,R2
0h_9_outline_TS_detect_AUTO_200.txt_Cell_8,INF,19.155288,2,R2
0h_9_outline_TS_detect_AUTO_200.txt_Cell_9,INF,37.681952,2,R2
4h_1_outline_TS_detect_AUTO_225.txt_Cell_1,INF,67.936948,6,R1
4h_1_outline_TS_detect_AUTO_225.txt_Cell_2,INF,110.219984,6,R1
4h_1_outline_TS_detect_AUTO_225.txt_Cell_3,INF,48.107274,6,R1
4h_1_outline_TS_detect_AUTO_225.txt_Cell_4,INF,36.84229,6,R1
4h_1_outline_TS_detect_AUTO_225.txt_Cell_5,INF,49.536536,6,R1
4h_1_outline_TS_detect_AUTO_225.txt_Cell_6,INF,35.12694,6,R1
4h_10_outline_TS_detect_AUTO_225.txt_Cell_1,INF,59.854912,6,R1
4h_10_outline_TS_detect_AUTO_225.txt_Cell_3,INF,132.973666,6,R1
4h_10_outline_TS_detect_AUTO_225.txt_Cell_4,INF,32.57026,6,R1
4h_10_outline_TS_detect_AUTO_225.txt_Cell_5,INF,100.506456,6,R1
4h_10_outline_TS_detect_AUTO_225.txt_Cell_6,INF,20.8,6,R1
4h_10_outline_TS_detect_AUTO_225.txt_Cell_7,INF,251.388422,6,R1
4h_10_outline_TS_detect_AUTO_225.txt_Cell_8,INF,55.63105,6,R1
4h_11_outline_TS_detect_AUTO_225.txt_Cell_1,INF,385.155852,6,R1
4h_11_outline_TS_detect_AUTO_225.txt_Cell_2,INF,100.05508,6,R1
4h_11_outline_TS_detect_AUTO_225.txt_Cell_3,INF,84.109032,6,R1
4h_11_outline_TS_detect_AUTO_225.txt_Cell_4,INF,22.722882,6,R1
4h_11_outline_TS_detect_AUTO_225.txt_Cell_5,INF,26,6,R1
4h_12_outline_TS_detect_AUTO_225.txt_Cell_1,INF,23.4,6,R1
4h_12_outline_TS_detect_AUTO_225.txt_Cell_2,INF,104.887244,6,R1
4h_12_outline_TS_detect_AUTO_225.txt_Cell_3,INF,260.99845,6,R1
4h_12_outline_TS_detect_AUTO_225.txt_Cell_4,INF,86.060716,6,R1
4h_14_outline_TS_detect_AUTO_180.txt_Cell_1,INF,167.974116,6,R2
4h_14_outline_TS_detect_AUTO_180.txt_Cell_2,INF,134.09446,6,R2
4h_14_outline_TS_detect_AUTO_180.txt_Cell_3,INF,213.219862,6,R2
4h_14_outline_TS_detect_AUTO_180.txt_Cell_4,INF,40.55817,6,R2
4h_16_outline_TS_detect_AUTO_180.txt_Cell_1,INF,258.238454,6,R2
4h_16_outline_TS_detect_AUTO_180.txt_Cell_2,INF,173.29646,6,R2
4h_16_outline_TS_detect_AUTO_180.txt_Cell_3,INF,47.866612,6,R2
4h_16_outline_TS_detect_AUTO_180.txt_Cell_4,INF,72.19917,6,R2
4h_16_outline_TS_detect_AUTO_180.txt_Cell_5,INF,63.763724,6,R2
4h_16_outline_TS_detect_AUTO_180.txt_Cell_6,INF,43.916016,6,R2
4h_18_outline_TS_detect_AUTO_195.txt_Cell_1,INF,192.92051,6,R2
4h_18_outline_TS_detect_AUTO_195.txt_Cell_2,INF,144.076812,6,R2
4h_18_outline_TS_detect_AUTO_195.txt_Cell_3,INF,137.58153,6,R2
4h_18_outline_TS_detect_AUTO_195.txt_Cell_4,INF,133.979952,6,R2
4h_18_outline_TS_detect_AUTO_195.txt_Cell_5,INF,50.647562,6,R2
4h_18_outline_TS_detect_AUTO_195.txt_Cell_6,INF,236.112074,6,R2
4h_2_outline_TS_detect_AUTO_225.txt_Cell_1,INF,112.479106,6,R1
4h_2_outline_TS_detect_AUTO_225.txt_Cell_11,INF,210.204934,6,R1
4h_2_outline_TS_detect_AUTO_225.txt_Cell_2,INF,39.467498,6,R1
4h_2_outline_TS_detect_AUTO_225.txt_Cell_3,INF,34.4027,6,R1
4h_2_outline_TS_detect_AUTO_225.txt_Cell_4,INF,57.544734,6,R1
4h_2_outline_TS_detect_AUTO_225.txt_Cell_5,INF,62.537114,6,R1
4h_2_outline_TS_detect_AUTO_225.txt_Cell_6,INF,25.812544,6,R1
4h_2_outline_TS_detect_AUTO_225.txt_Cell_7,INF,75.689952,6,R1
4h_2_outline_TS_detect_AUTO_225.txt_Cell_8,INF,142.229826,6,R1
4h_20_outline_TS_detect_AUTO_180.txt_Cell_1,INF,2167.167876,6,R2
4h_20_outline_TS_detect_AUTO_180.txt_Cell_2,INF,124.079118,6,R2
4h_20_outline_TS_detect_AUTO_180.txt_Cell_3,INF,86.865786,6,R2
4h_20_outline_TS_detect_AUTO_180.txt_Cell_4,INF,25.163432,6,R2
4h_21_outline_TS_detect_AUTO_180.txt_Cell_1,INF,165.36339,6,R2
4h_21_outline_TS_detect_AUTO_180.txt_Cell_2,INF,1659.697778,6,R2
4h_21_outline_TS_detect_AUTO_180.txt_Cell_3,INF,78.47132,6,R2
4h_21_outline_TS_detect_AUTO_180.txt_Cell_4,INF,73.731512,6,R2
4h_21_outline_TS_detect_AUTO_180.txt_Cell_5,INF,49.070558,6,R2
4h_21_outline_TS_detect_AUTO_180.txt_Cell_6,INF,73.585146,6,R2
4h_22_outline_TS_detect_AUTO_180.txt_Cell_1,INF,318.893432,6,R2
4h_22_outline_TS_detect_AUTO_180.txt_Cell_2,INF,117.40201,6,R2
4h_22_outline_TS_detect_AUTO_180.txt_Cell_3,INF,52.023498,6,R2
4h_22_outline_TS_detect_AUTO_180.txt_Cell_4,INF,60.1301,6,R2
4h_23_outline_TS_detect_AUTO_195.txt_Cell_2,INF,40.582298,6,R2
4h_23_outline_TS_detect_AUTO_195.txt_Cell_3,INF,81.582258,6,R2
4h_23_outline_TS_detect_AUTO_195.txt_Cell_4,INF,128.732342,6,R2
4h_23_outline_TS_detect_AUTO_195.txt_Cell_5,INF,166.265414,6,R2
4h_23_outline_TS_detect_AUTO_195.txt_Cell_6,INF,63.863762,6,R2
4h_23_outline_TS_detect_AUTO_195.txt_Cell_7,INF,32.67951,6,R2
4h_23_outline_TS_detect_AUTO_195.txt_Cell_8,INF,99.58156,6,R2
4h_23_outline_TS_detect_AUTO_195.txt_Cell_9,INF,20.975764,6,R2
4h_24_outline_TS_detect_AUTO_195.txt_Cell_1,INF,159.05339,6,R2
4h_24_outline_TS_detect_AUTO_195.txt_Cell_10,INF,77.258208,6,R2
4h_24_outline_TS_detect_AUTO_195.txt_Cell_3,INF,64.612682,6,R2
4h_24_outline_TS_detect_AUTO_195.txt_Cell_4,INF,39.43434,6,R2
4h_24_outline_TS_detect_AUTO_195.txt_Cell_5,INF,22.1,6,R2
4h_24_outline_TS_detect_AUTO_195.txt_Cell_6,INF,37.558476,6,R2
4h_24_outline_TS_detect_AUTO_195.txt_Cell_7,INF,46.136154,6,R2
4h_24_outline_TS_detect_AUTO_195.txt_Cell_8,INF,53.934396,6,R2
4h_24_outline_TS_detect_AUTO_195.txt_Cell_9,INF,59.49438,6,R2
4h_3_outline_TS_detect_AUTO_225.txt_Cell_1,INF,172.550928,6,R1
4h_3_outline_TS_detect_AUTO_225.txt_Cell_2,INF,88.990578,6,R1
4h_3_outline_TS_detect_AUTO_225.txt_Cell_3,INF,85.776194,6,R1
4h_3_outline_TS_detect_AUTO_225.txt_Cell_5,INF,91.463888,6,R1
4h_3_outline_TS_detect_AUTO_225.txt_Cell_6,INF,89.945116,6,R1
4h_3_outline_TS_detect_AUTO_225.txt_Cell_7,INF,74.076416,6,R1
4h_3_outline_TS_detect_AUTO_225.txt_Cell_8,INF,78.136246,6,R1
4h_3_outline_TS_detect_AUTO_225.txt_Cell_9,INF,162.991292,6,R1
4h_4_outline_TS_detect_AUTO_225.txt_Cell_1,INF,153.92273,6,R1
4h_4_outline_TS_detect_AUTO_225.txt_Cell_2,INF,127.364276,6,R1
4h_4_outline_TS_detect_AUTO_225.txt_Cell_3,INF,67.027628,6,R1
4h_4_outline_TS_detect_AUTO_225.txt_Cell_4,INF,624.172782,6,R1
4h_4_outline_TS_detect_AUTO_225.txt_Cell_5,INF,70.489212,6,R1
4h_4_outline_TS_detect_AUTO_225.txt_Cell_6,INF,74.590546,6,R1
4h_4_outline_TS_detect_AUTO_225.txt_Cell_7,INF,26,6,R1
4h_5_outline_TS_detect_AUTO_225.txt_Cell_1,INF,189.699644,6,R1
4h_5_outline_TS_detect_AUTO_225.txt_Cell_2,INF,138.829822,6,R1
4h_5_outline_TS_detect_AUTO_225.txt_Cell_3,INF,45.952808,6,R1
4h_5_outline_TS_detect_AUTO_225.txt_Cell_4,INF,133.141506,6,R1
4h_5_outline_TS_detect_AUTO_225.txt_Cell_5,INF,884.4354,6,R1
4h_5_outline_TS_detect_AUTO_225.txt_Cell_6,INF,404.729738,6,R1
4h_5_outline_TS_detect_AUTO_225.txt_Cell_7,INF,23.053788,6,R1
4h_5_outline_TS_detect_AUTO_225.txt_Cell_8,INF,10.4,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_10,INF,96.151506,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_11,INF,32.14052,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_3,INF,185.312176,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_4,INF,34.38472,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_5,INF,103.951922,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_6,INF,152.110904,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_7,INF,117.909312,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_8,INF,107.817268,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_9,INF,71.470238,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_1,INF,287.905864,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_2,INF,118.607608,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_3,INF,87.160864,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_4,INF,49.08802,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_5,INF,29.460598,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_6,INF,16.077102,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_7,INF,31.579752,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_1,INF,178.894212,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_2,INF,1927.112394,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_3,INF,37.087226,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_4,INF,70.2,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_5,INF,32.88255,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_6,INF,32.832774,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_7,INF,34.74743,6,R1
4h_9_outline_TS_detect_AUTO_225.txt_Cell_1,INF,229.34899,6,R1
4h_9_outline_TS_detect_AUTO_225.txt_Cell_2,INF,134.872544,6,R1
4h_9_outline_TS_detect_AUTO_225.txt_Cell_3,INF,14.3,6,R1
4h_9_outline_TS_detect_AUTO_225.txt_Cell_4,INF,20.8,6,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_1,INF,42.365785,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_10,INF,51.22887,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_11,INF,38.76725,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_12,INF,181.70408,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_13,INF,44.82412,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_14,INF,148.11561,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_15,INF,155.71595,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_2,INF,42.93634,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_3,INF,18.35546,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_4,INF,47.16336,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_5,INF,25.74025,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_6,INF,40.13614,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_7,INF,32.81196,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_8,INF,45.43771,2,R3
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_9,INF,85.92216,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_1,INF,40.63546,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_10,INF,83.12497,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_13,INF,102.86687,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_14,INF,132.32273,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_16,INF,55.70358,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_17,INF,25.96417,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_18,INF,39.83677,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_19,INF,57.800325,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_2,INF,30.23723,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_3,INF,44.66057,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_4,INF,63.22179,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_5,INF,26.25095,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_6,INF,116.69561,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_7,INF,46.77286,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_8,INF,32.01055,2,R3
INF_0h_202_C4_outline_TS_detect_AUTO_350.txt_Cell_9,INF,46.08779,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_1,INF,16.63716,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_10,INF,11.75833,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_11,INF,35.09408,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_12,INF,62.94478,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_13,INF,7,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_14,INF,12.26497,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_15,INF,19.14712,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_16,INF,31.54297,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_17,INF,26.97111,2,R3
INF_0h_203_C4_outline_TS_detect_AUTO_350.txt_Cell_2,INF,57.847805,2,R3
