Label,channel,time,condition,total_vRNAs_smFISH,total_vRNAs_intensity
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_10.npz,gRNA,10,Untreated,10547,12106.83181
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_6.npz,gRNA,10,Untreated,8255,8504.495557
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_16.npz,gRNA,10,Untreated,7064,4685.195524
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_11.npz,gRNA,10,Untreated,6937,9138.092361
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_2.npz,gRNA,10,Untreated,5863,5734.327202
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_21.npz,gRNA,10,Untreated,4769,6204.509869
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_1.npz,gRNA,10,Untreated,4753,3609.971089
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_6.npz,gRNA,10,Untreated,4054,2967.854939
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_21.npz,gRNA,10,Untreated,3901,3898.736699
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_8.npz,gRNA,10,Untreated,3716,4260.875125
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_8.npz,gRNA,10,Untreated,3642,2598.409033
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_15.npz,gRNA,10,Untreated,3182,2465.09557
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_10.npz,gRNA,10,Untreated,3083,2239.218198
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_35.npz,gRNA,10,Untreated,3052,3293.804108
CoV-FISH-01C_R1_10h_INF_00008_cleared__results_cell_15.npz,gRNA,10,Untreated,2887,2542.491905
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_25.npz,gRNA,10,Untreated,2874,3732.229184
CoV-FISH-01C_R1_10h_INF_00015_cleared__results_cell_0.npz,gRNA,10,Untreated,2750,3709.028432
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_30.npz,gRNA,10,Untreated,2667,2864.808057
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_18.npz,gRNA,10,Untreated,2651,2121.268281
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_22.npz,gRNA,10,Untreated,2580,1843.787843
CoV-FISH-01C_R1_10h_INF_00007_cleared__results_cell_10.npz,gRNA,10,Untreated,2537,2643.469541
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_16.npz,gRNA,10,Untreated,2358,1882.451683
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_20.npz,gRNA,10,Untreated,2195,2087.51662
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_9.npz,gRNA,10,Untreated,2127,2144.569354
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_24.npz,gRNA,10,Untreated,1983,1723.436576
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_31.npz,gRNA,10,Untreated,1978,1466.771338
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_1.npz,gRNA,10,Untreated,1865,2141.626947
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_32.npz,gRNA,10,Untreated,1663,1893.88653
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_11.npz,gRNA,10,Untreated,1654,1686.984148
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_8.npz,gRNA,10,Untreated,1636,1331.115736
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_18.npz,gRNA,10,Untreated,1624,1598.677112
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_0.npz,gRNA,10,Untreated,1367,1789.338618
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_27.npz,gRNA,10,Untreated,1292,1249.674532
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_21.npz,gRNA,10,Untreated,1237,1634.185933
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_5.npz,gRNA,10,Untreated,1228,1074.999011
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_22.npz,gRNA,10,Untreated,1163,1558.904654
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_30.npz,gRNA,10,Untreated,1132,1390.135337
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_32.npz,gRNA,10,Untreated,1051,727.1800715
CoV-FISH-01C_R1_10h_INF_00017_cleared__results_cell_15.npz,gRNA,10,Untreated,996,1171.56954
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_0.npz,gRNA,10,Untreated,928,985.4089952
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_25.npz,gRNA,10,Untreated,902,795.1278783
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_1.npz,gRNA,10,Untreated,896,682.533618
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_17.npz,gRNA,10,Untreated,885,954.876512
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_8.npz,gRNA,10,Untreated,837,926.7613776
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_9.npz,gRNA,10,Untreated,803,923.1922641
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_4.npz,gRNA,10,Untreated,773,805.8328724
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_8.npz,gRNA,10,Untreated,758,678.1200026
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_5.npz,gRNA,10,Untreated,755,625.4204186
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_3.npz,gRNA,10,Untreated,747,879.846846
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_33.npz,gRNA,10,Untreated,730,571.0241689
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_0.npz,gRNA,10,Untreated,728,948.2543878
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_6.npz,gRNA,10,Untreated,726,673.9633865
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_12.npz,gRNA,10,Untreated,716,788.314679
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_11.npz,gRNA,10,Untreated,630,413.8766805
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_19.npz,gRNA,10,Untreated,630,735.4733042
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_9.npz,gRNA,10,Untreated,622,492.9562974
CoV-FISH-01C_R1_10h_INF_00009_cleared__results_cell_1.npz,gRNA,10,Untreated,619,543.2430951
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_24.npz,gRNA,10,Untreated,611,724.8025979
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_10.npz,gRNA,10,Untreated,603,435.7581181
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_2.npz,gRNA,10,Untreated,595,769.3956097
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_26.npz,gRNA,10,Untreated,589,555.0644308
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_11.npz,gRNA,10,Untreated,582,646.7700831
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_10.npz,gRNA,10,Untreated,569,689.5997719
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_24.npz,gRNA,10,Untreated,561,659.5753474
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_11.npz,gRNA,10,Untreated,561,524.3152072
CoV-FISH-01C_R1_10h_INF_00008_cleared__results_cell_10.npz,gRNA,10,Untreated,555,738.9579421
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_19.npz,gRNA,10,Untreated,549,726.1231456
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_7.npz,gRNA,10,Untreated,548,704.5976646
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_14.npz,gRNA,10,Untreated,531,691.1884301
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_17.npz,gRNA,10,Untreated,528,517.2515169
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_9.npz,gRNA,10,Untreated,523,576.3041224
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_4.npz,gRNA,10,Untreated,509,582.791474
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_34.npz,gRNA,10,Untreated,505,525.5850005
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_21.npz,gRNA,10,Untreated,487,434.6198549
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_1.npz,gRNA,10,Untreated,486,648.5782366
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_3.npz,gRNA,10,Untreated,475,412.7355019
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_13.npz,gRNA,10,Untreated,459,375.6097766
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_6.npz,gRNA,10,Untreated,458,345.6980454
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_12.npz,gRNA,10,Untreated,458,473.65382
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_23.npz,gRNA,10,Untreated,440,489.8323634
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_18.npz,gRNA,10,Untreated,417,512.0974151
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_29.npz,gRNA,10,Untreated,416,441.3767487
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_20.npz,gRNA,10,Untreated,415,489.2537761
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_20.npz,gRNA,10,Untreated,414,389.10184
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_7.npz,gRNA,10,Untreated,401,287.3287487
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_18.npz,gRNA,10,Untreated,397,277.6182022
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_36.npz,gRNA,10,Untreated,396,410.1287349
CoV-FISH-01C_R1_10h_INF_00014_cleared__results_cell_1.npz,gRNA,10,Untreated,390,502.099578
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_11.npz,gRNA,10,Untreated,386,345.1127713
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_3.npz,gRNA,10,Untreated,384,387.1726469
CoV-FISH-01C_R1_10h_INF_00014_cleared__results_cell_3.npz,gRNA,10,Untreated,381,377.4792549
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_16.npz,gRNA,10,Untreated,367,286.9609275
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_30.npz,gRNA,10,Untreated,365,350.5111637
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_28.npz,gRNA,10,Untreated,362,395.8910292
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_19.npz,gRNA,10,Untreated,360,238.2847936
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_27.npz,gRNA,10,Untreated,356,471.3405304
CoV-FISH-01C_R1_10h_INF_00008_cleared__results_cell_14.npz,gRNA,10,Untreated,352,441.2605809
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_15.npz,gRNA,10,Untreated,340,374.4588232
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_2.npz,gRNA,10,Untreated,339,224.5834011
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_11.npz,gRNA,10,Untreated,338,236.8724018
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_29.npz,gRNA,10,Untreated,337,410.7421992
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_30.npz,gRNA,10,Untreated,337,284.7909609
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_22.npz,gRNA,10,Untreated,337,374.5519677
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_23.npz,gRNA,10,Untreated,337,429.0168832
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_19.npz,gRNA,10,Untreated,328,437.5653429
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_25.npz,gRNA,10,Untreated,324,423.5040071
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_14.npz,gRNA,10,Untreated,313,260.6798762
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_2.npz,gRNA,10,Untreated,307,290.2147257
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_22.npz,gRNA,10,Untreated,307,317.0556735
CoV-FISH-01C_R1_10h_INF_00017_cleared__results_cell_4.npz,gRNA,10,Untreated,306,241.2757523
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_0.npz,gRNA,10,Untreated,304,332.7380986
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_10.npz,gRNA,10,Untreated,301,396.8867456
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_10.npz,gRNA,10,Untreated,300,364.9005977
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_11.npz,gRNA,10,Untreated,290,267.6271359
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_9.npz,gRNA,10,Untreated,282,329.9826932
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_15.npz,gRNA,10,Untreated,281,350.6767278
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_14.npz,gRNA,10,Untreated,280,270.006602
CoV-FISH-01C_R1_10h_INF_00009_cleared__results_cell_22.npz,gRNA,10,Untreated,280,353.9943701
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_2.npz,gRNA,10,Untreated,274,344.9116417
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_3.npz,gRNA,10,Untreated,274,226.7935092
CoV-FISH-01C_R1_10h_INF_00002_cleared__results_cell_5.npz,gRNA,10,Untreated,268,234.1380716
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_20.npz,gRNA,10,Untreated,268,342.0145533
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_26.npz,gRNA,10,Untreated,267,286.9469039
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_29.npz,gRNA,10,Untreated,265,225.140632
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_3.npz,gRNA,10,Untreated,261,224.3547377
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_18.npz,gRNA,10,Untreated,261,291.0095801
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_9.npz,gRNA,10,Untreated,261,205.2455871
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_5.npz,gRNA,10,Untreated,260,283.0321806
CoV-FISH-01C_R1_10h_INF_00015_cleared__results_cell_14.npz,gRNA,10,Untreated,260,314.9656332
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_15.npz,gRNA,10,Untreated,260,241.7662771
CoV-FISH-01C_R1_10h_INF_00014_cleared__results_cell_17.npz,gRNA,10,Untreated,259,233.7351333
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_4.npz,gRNA,10,Untreated,256,213.665325
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_29.npz,gRNA,10,Untreated,251,290.0920147
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_11.npz,gRNA,10,Untreated,249,252.9952146
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_32.npz,gRNA,10,Untreated,244,305.297427
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_26.npz,gRNA,10,Untreated,244,270.2962341
CoV-FISH-01C_R1_10h_INF_00007_cleared__results_cell_1.npz,gRNA,10,Untreated,244,243.6672149
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_9.npz,gRNA,10,Untreated,240,208.2639716
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_3.npz,gRNA,10,Untreated,240,268.6612164
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_22.npz,gRNA,10,Untreated,238,246.7611378
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_3.npz,gRNA,10,Untreated,237,196.0426112
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_12.npz,gRNA,10,Untreated,234,213.7130049
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_8.npz,gRNA,10,Untreated,234,152.454468
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_3.npz,gRNA,10,Untreated,232,293.8974295
CoV-FISH-01C_R1_10h_INF_00009_cleared__results_cell_0.npz,gRNA,10,Untreated,231,219.6448309
CoV-FISH-01C_R1_10h_INF_00008_cleared__results_cell_11.npz,gRNA,10,Untreated,229,282.0184416
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_7.npz,gRNA,10,Untreated,228,160.118511
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_2.npz,gRNA,10,Untreated,226,186.5185747
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_11.npz,gRNA,10,Untreated,226,226.1983247
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_27.npz,gRNA,10,Untreated,224,250.7016588
CoV-FISH-01C_R1_10h_INF_00017_cleared__results_cell_22.npz,gRNA,10,Untreated,224,175.4551903
CoV-FISH-01C_R1_10h_INF_00004_cleared__results_cell_14.npz,gRNA,10,Untreated,223,227.0607343
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_18.npz,gRNA,10,Untreated,221,259.5561075
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_23.npz,gRNA,10,Untreated,220,285.7051676
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_20.npz,gRNA,10,Untreated,219,233.5314849
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_12.npz,gRNA,10,Untreated,218,257.4125716
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_15.npz,gRNA,10,Untreated,216,201.4400364
CoV-FISH-01C_R1_10h_INF_00017_cleared__results_cell_18.npz,gRNA,10,Untreated,216,283.5344343
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_12.npz,gRNA,10,Untreated,214,235.0364609
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_17.npz,gRNA,10,Untreated,212,210.278092
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_7.npz,gRNA,10,Untreated,212,227.2304154
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_13.npz,gRNA,10,Untreated,212,155.0271134
CoV-FISH-01C_R1_10h_INF_00017_cleared__results_cell_8.npz,gRNA,10,Untreated,211,213.4615621
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_20.npz,gRNA,10,Untreated,209,211.8263882
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_3.npz,gRNA,10,Untreated,208,192.027423
CoV-FISH-01C_R1_10h_INF_00008_cleared__results_cell_16.npz,gRNA,10,Untreated,207,179.0159722
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_22.npz,gRNA,10,Untreated,202,194.0952339
CoV-FISH-01C_R1_10h_INF_00007_cleared__results_cell_5.npz,gRNA,10,Untreated,202,262.1974723
CoV-FISH-01C_R1_10h_INF_00008_cleared__results_cell_4.npz,gRNA,10,Untreated,202,167.7580661
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_6.npz,gRNA,10,Untreated,200,144.8602516
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_23.npz,gRNA,10,Untreated,200,200.9020797
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_9.npz,gRNA,10,Untreated,199,142.0024746
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_13.npz,gRNA,10,Untreated,198,149.4859466
CoV-FISH-01C_R1_10h_INF_00017_cleared__results_cell_21.npz,gRNA,10,Untreated,198,228.4442899
CoV-FISH-01C_R1_10h_INF_00007_cleared__results_cell_6.npz,gRNA,10,Untreated,193,164.2311241
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_22.npz,gRNA,10,Untreated,193,210.2057753
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_32.npz,gRNA,10,Untreated,191,243.9215867
